,keyword
0,간나
1,개간나
2,쌍간나
3,종간나
4,좆간나
5,갈보
6,개간년
7,개나리
8,개년
9,개돼지
10,개새끼
11,개좆
12,개쓰레기
13,개소리
14,개씨발
15,개씹
16,개지랄
17,개족새
18,개차반
19,걸레
20,고자
21,광녀
22,광년이
23,괴뢰군
24,괴뢰
25,김치녀
26,꺼져
27,꼬붕
28,꼰대
29,꼴통
30,연놈
31,냄비
32,노슬아치
33,느개비
34,느금마
35,니미럴
36,니기미
37,니상년
38,노답
39,나가뒤져
40,니미뽕
41,ㄷㅊ
42,닥쳐
43,대가리
44,뒤져
45,뒈져
46,등신
47,따까리
48,딸딸이
49,또라이
50,똘추
51,띨빵
52,레기
53,렉카충
54,ㅁㅈㅎ
55,망나니
56,메갈리아
57,매국노
58,머저리
59,멍청도
60,멍청이
61,메갈
62,무뇌
63,미치광이
64,미친개
65,미친년
66,미친놈
67,미친새끼
68,미친
69,버러지
70,ㅂㅅ
71,ㅄ
72,병신
73,병신따까리
74,벌레
75,보슬
76,보전깨
77,보지
78,보지년
79,보추
80,부랄
81,불알
82,븅딱
83,빠가
84,빠돼쌍
85,빨갱이
86,빨통
87,ㅗ
88,뻐큐
89,삐꾸
90,빡대가리
91,상폐녀
92,샹
93,새끼
94,시발
95,^^ㅣ발
96,십장생
97,싸가지
98,싸이코
99,쌍욕
100,쌍놈
101,씹
102,씹지랄
103,썩을년
104,썩을놈
105,썅
106,씨발
107,씨방놈
108,씨방년
109,씨방짭새
110,씨방새
111,씨부랄
113,씹새
114,씹새끼
115,씹창
116,씹치녀
117,씹년
118,씹치남
119,아다
120,아가리
121,애자
122,애비충
123,애미
124,에비
126,애비
127,에미
128,에라이씨발
129,엠창
130,엠창인생
131,옌장
132,열폭
133,염병
134,옘병
135,엿먹다
136,우라질
137,운지
138,워마드
139,육갑떨다
140,육변기
141,육시럴
142,인간쓰레기
143,ㅈㄹ
144,자지
145,잡놈
146,잡종
147,장애인
148,재수없다
149,저능아
150,정신병자
151,젖
152,제기랄
153,젠장
154,존나
155,졸라
156,좇
157,좆
158,좆같다
159,좆까
160,좆나
161,좆도아닌
